id,title,company,city,level,category,experience,salary_from,salary_to,salary_mid,skills,has_desc,url
132823843,Machine Learning Engineer,АОЭДС,Москва,senior,ml_engineer,Опыт более 6 лет,,,,Python|C++|PyTorch|OpenCV|ONNX|TensorRT|OpenVINO|Ultralytics|ClearML|Docker|FastAPI|PostgreSQL|MongoDB|Git,True,https://hh.ru/vacancy/132823843
131520640,ML Engineer,Астор,Москва,middle,computer_vision,Опыт 3-6 лет,,,,Python|SQL|Bash|PyTorch|scikit-learn|OpenCV|YOLO|MLflow|Airflow|DVC|Docker|Kafka|Spark|AWS|GCP|Azure|Git|Jupyter,True,https://hh.ru/vacancy/131520640
132851400,Senior AI Engineer / Senior Data Scientist (LLM & Prompt Engineering)/Дата-сайентист,ОООПартДизайн,Санкт-Петербург,senior,llm,Опыт 3-6 лет,,,,SQL|PyTorch|TensorFlow|GPT|LLM|HuggingFace|RAG|Docker|Kubernetes|MongoDB,True,https://hh.ru/vacancy/132851400
132785155,ML-инженер/Machine Learning Engineer,Федеральное автономное учреждение «Национальный институт аккредитации» (ФАУ НИА),Москва,junior,mlops,Опыт 1-3 года,,,,Python|SQL|Bash|MLflow|Airflow|Kubeflow|ClearML|DVC|Docker|Kubernetes|Jupyter,True,https://hh.ru/vacancy/132785155
132764751,Data QA Engineer (Machine Learning / ML Models),Marfatech,Москва,junior,general_ml,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/132764751
131040143,ML Engineer (Medical Imaging),ОООГравиЛинк,Санкт-Петербург,middle,ml_engineer,Опыт 3-6 лет,,,,Python|C++,True,https://hh.ru/vacancy/131040143
129479493,Data Engineer,,Санкт-Петербург,middle,data_science,Опыт 3-6 лет,,,,SQL|Airflow|Kubernetes|FastAPI|Flask|Kafka|Spark|ClickHouse|Yandex Cloud,True,https://hh.ru/vacancy/129479493
132203314,Tech Lead ML Engineer (Python),,Москва,senior,nlp,Опыт более 6 лет,,,,Python|PyTorch|XGBoost|LightGBM|CatBoost|scikit-learn|Transformers|LLM|LangChain|HuggingFace|RAG|Docker|FastAPI|Flask|Kafka|Grafana,True,https://hh.ru/vacancy/132203314
132874633,ML Lead (Engineering),ТООMayflower,"Лимасол, муниципалитет Лимассол, проспект Архиепископа Макариоса III, 213",senior,general_ml,Опыт более 6 лет,,,,Python|MLflow|Airflow|Kubernetes|FastAPI|Flask,True,https://hh.ru/vacancy/132874633
132914179,Программист по компьютерному зрению (CV / ML Engineer),ОООБитроботикс,Москва,junior,ml_engineer,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/132914179
132589814,ML Engineer/ Machine Learning Engineer/ ML Инженер,"Reputation House Marketing Management, LLC",Москва,middle,ml_engineer,Опыт 3-6 лет,,,,Python|PyTorch|TensorFlow|scikit-learn|BERT|LLM|HuggingFace|ONNX|Airflow|Docker|Spark|Hadoop,True,https://hh.ru/vacancy/132589814
130689951,Robotics Software Engineer (команда Манипуляция),ТехВилл,Москва,middle,research,Опыт 3-6 лет,,50000.0,50000.0,Python|C++|PyTorch|OpenCV|ONNX|TensorRT|Docker|Git,True,https://hh.ru/vacancy/130689951
132381539,Machine Learning Engineer,Axiom Pro,Москва,middle,nlp,Опыт 3-6 лет,,,,Python|SQL|PyTorch|TensorFlow|scikit-learn|Docker|AWS|GCP,True,https://hh.ru/vacancy/132381539
132518738,Machine Learning Engineer / Инженер по Машинному Обучению (в офис),ОООАйкью Групп,Тольятти,junior,nlp,Опыт 1-3 года,,,,Python|SQL|PyTorch|TensorFlow|scikit-learn|BERT|GPT|RAG|Docker|Kubernetes|FastAPI|Flask|Redis|AWS|Yandex Cloud,True,https://hh.ru/vacancy/132518738
132282682,Machine Learning Engineer / Data Scientist,Санкт-Петербургский политехнический университет Петра Великого (ФГАОУ ВО СПбПУ),Санкт-Петербург,middle,data_science,Опыт 3-6 лет,,,,Python|PyTorch|TensorFlow|scikit-learn,True,https://hh.ru/vacancy/132282682
132121582,Senior Machine Learning Engineer,GetMeGit,Москва,senior,nlp,Опыт 3-6 лет,,,,Python|SQL|PyTorch|TensorFlow|scikit-learn|LLM|LangChain|HuggingFace|RAG|MLflow|Kubeflow|Docker|Kubernetes,True,https://hh.ru/vacancy/132121582
131909925,Старший ML-инженер,,Санкт-Петербург,senior,ml_engineer,Опыт более 6 лет,,,,Python|SQL|Bash|PyTorch|spaCy|MLflow|Airflow|Kubeflow|Docker|Git|Grafana,True,https://hh.ru/vacancy/131909925
131546356,Специалист по классическому ML / Data Science / Junior Machine Learning Engineer,,Москва,junior,data_science,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/131546356
132329950,"Senior / Middle+ Machine Learning Engineer (Computer Vision, Python)",Передовые технологии,Москва,senior,computer_vision,Опыт 3-6 лет,,,,Python|PyTorch|TensorFlow|OpenCV|ONNX|TensorRT|OpenVINO|Git,True,https://hh.ru/vacancy/132329950
132747594,ML Engineer в команду anti-DDoS,,Москва,middle,ml_engineer,Опыт 3-6 лет,,,,,False,https://hh.ru/vacancy/132747594
130285387,Инженер компьютерного зрения / Machine Learning Engineer (для гидравлических роботов),"АО ИНТЕХРОС, Межрегиональная группа компаний",Воронеж,junior,ml_engineer,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/130285387
132403006,Специалист по Machine Learning/ML-инженер/Python разработчик,ОООКод Грин Инжиниринг,Санкт-Петербург,junior,ml_engineer,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/132403006
131292282,Machine Learning Engineer / ML-инженер,,Москва,middle,research,Опыт 3-6 лет,,,,Python|LLM,True,https://hh.ru/vacancy/131292282
132823753,ML-инженер (LLM),АО ЭДС,Ижевск,middle,mlops,Опыт 3-6 лет,,,,GPT|LLM|RAG|Docker|Kubernetes,True,https://hh.ru/vacancy/132823753
132400830,ML-инженер (Data Science / LLM),,Москва,junior,llm,Опыт 1-3 года,,,,,False,https://hh.ru/vacancy/132400830
